BattlefyName,IGN,Pokepaste
kangsion55,Scarlet,"=HYPERLINK(""https://pokepast.es/a9e9fba322ed559e"")"
Joseph_Gambit,Joseph,"=HYPERLINK(""https://pokepast.es/20ddbd897829459b"")"
BullishFunkVGC,BullishFunk,"=HYPERLINK(""https://pokepast.es/77516a3e38491c10"")"
ICJ236,バイオレット,"=HYPERLINK(""https://pokepast.es/35552d61d6071c62"")"
IdkVgc,Evan,"=HYPERLINK(""https://pokepast.es/082aede46ef035f6"")"
eughe,Eughe,"=HYPERLINK(""https://pokepast.es/ff1ed6be32d6129c"")"
roscioale08,Alessio,"=HYPERLINK(""https://pokepast.es/81e58d8b0ba4a442"")"
pasqualepalermo0101,MaiEnemiVGC,"=HYPERLINK(""https://pokepast.es/0e1d0bffdffa289e"")"
gaaruccia,gaaruccia,"=HYPERLINK(""https://pokepast.es/dd5c4815181b45e1"")"
shiripoke,taboo,"=HYPERLINK(""https://pokepast.es/6416a109d14f8be8"")"
Yuta Ishigaki,パラガス,"=HYPERLINK(""MH924L"")"
asmartin007,Lambo1,"=HYPERLINK(""https://pokepast.es/9936a6d1551995fe"")"
MGH_games,matthew,"=HYPERLINK(""https://pokepast.es/d4cf61d84d497eb6"")"
lienchin1366,VicL,"=HYPERLINK(""https://pokepast.es/6665eb68284ba4f4"")"
mirkofioravanti666,Wondi,"=HYPERLINK(""https://pokepast.es/618dfbeffb995f9f"")"
Woid,Lorenzo,"=HYPERLINK(""https://pokepast.es/f5e497344c917c57"")"
niccolongo1,NIC,"=HYPERLINK(""https://pokepast.es/57a301458823277c"")"
NayeonLove,나연♥︎,"=HYPERLINK(""https://pokepast.es/1f6551448caa251e"")"
AndrewsWho,Andrews,"=HYPERLINK(""https://pokepast.es/61ac86ae28b2023b"")"
DubiousBulb1033,Dubious,"=HYPERLINK(""https://pokepast.es/725847be4eaf12e6"")"
maxdeesevgc,Max,"=HYPERLINK(""https://pokepast.es/dde0673fed3ec128"")"
とも,まふゆ,"=HYPERLINK(""https://pokepast.es/4204765746c7694e"")"
ferromattiauni,Fantasista,"=HYPERLINK(""https://pokepast.es/d76191b6a33ff278"")"
Pokefey,Fey,"=HYPERLINK(""https://pokepast.es/97e64f75bf269bea"")"
Pado_22,PADØ,"=HYPERLINK(""https://pokepast.es/145bf1a7cd40adec"")"
Animod,Animod,"=HYPERLINK(""https://pokepast.es/99aae8f01594eefc"")"
manuhernandez2496,Manu,"=HYPERLINK(""https://pokepast.es/578dcdb28c644fb4"")"
ablock97,Block,"=HYPERLINK(""https://pokepast.es/f378cfc0ac84c812"")"
Ste,Ste,"=HYPERLINK(""https://pokepast.es/f672d5f5b49afe7f"")"
ggomo,Alexa,"=HYPERLINK(""https://pokepast.es/f8d0bf5353ae8977"")"
steevefalleroni97,Rimini,"=HYPERLINK(""https://pokepast.es/d77708072ebd8d2e"")"
conan,スカーレット,"=HYPERLINK(""https://pokepast.es/0d062402918520d7"")"
Lucas Mester,Lucas,"=HYPERLINK(""https://pokepast.es/84aef6bac63766b2"")"
StoneStormVGC,StoneStormVG,"=HYPERLINK(""https://pokepast.es/542adec3684610b6"")"
WhoKnowsVGC,Jack,"=HYPERLINK(""https://pokepast.es/0e60d217091176c6"")"
MyNameSuckz,MyNameSuckz,"=HYPERLINK(""https://pokepast.es/12b72a6bd8779c12"")"
benjaminjochimsen,Benno,"=HYPERLINK(""https://pokepast.es/87b0cfafb57b25c7"")"
tttc0865,Marcos77,"=HYPERLINK(""https://pokepast.es/8ec6e5a0f57de836"")"
gianziniruben,Ruben,"=HYPERLINK(""https://pokepast.es/aee6d04d185aab67"")"
DrXJ13,Alex,"=HYPERLINK(""https://pokepast.es/c3319de91e044805"")"
mjbsharah,Mike,"=HYPERLINK(""https://pokepast.es/3ca5b764e8e5054e"")"
olymakk,Olymak,"=HYPERLINK(""https://pokepast.es/3c8ee0f6b9098a85"")"
liamwestland79,WestyLiam,"=HYPERLINK(""https://pokepast.es/455a1abc42605721"")"
FedeCampoVGC,FedeCampoVGC,"=HYPERLINK(""https://pokepast.es/e691a185e5f65ef9"")"
johnpeezy13r,John Paul,"=HYPERLINK(""pokepast.es/522ef0ef9d157ce3"")"
glacierishype,Glacier,"=HYPERLINK(""https://pokepast.es/7b03572e88cff195"")"
mhonesto97,M,"=HYPERLINK(""https://pokepast.es/d4e920c54a566c6f"")"
Darts,Darts,"=HYPERLINK(""https://pokepast.es/66b1da33db087643"")"
Penglin,Penglin,"=HYPERLINK(""https://pokepast.es/d8aded05cccdc846"")"
yanagi02,やなぎ,"=HYPERLINK(""https://pokepast.es/690e19baad35f84b"")"
Hirohiro,cotton,"=HYPERLINK(""https://pokepast.es/dd3b7d1165dfc009"")"
astropine,pinkpuffer,"=HYPERLINK(""https://pokepast.es/8adef11afe272dd2"")"
SeaWolfMikes,SeaWolfMikes,"=HYPERLINK(""https://pokepast.es/ce875f9134496a72"")"
UrsakingVGC,TheSheeshMan,"=HYPERLINK(""https://pokepast.es/2b7ac0100f7798a6"")"
HarriesVGC,Pendragon,"=HYPERLINK(""https://pokepast.es/301d62ffad21db98"")"
DiegoCGV,Diego,"=HYPERLINK(""https://pokepast.es/ec0671c9e39fd992"")"
bradenclemens,Braden,"=HYPERLINK(""https://pokepast.es/1218d5e8a4531299"")"
PlantGod,Plant God,"=HYPERLINK(""https://pokepast.es/5e4155254da32875"")"
Hugo Negrete,Hugo,"=HYPERLINK(""https://pokepast.es/67568263df3c6c4d"")"
user8399,666,"=HYPERLINK(""https://pokepast.es/396ee60f08e84c6a"")"
BelugaVGC,Beluga,"=HYPERLINK(""https://pokepast.es/68d50f389f4aaa83"")"
SovalVGC,Asher,"=HYPERLINK(""https://pokepast.es/f92320836654bb0d"")"
anythingbloons,Juice,"=HYPERLINK(""https://pokepast.es/c26009df38c765ef"")"
actornadoboy,Adam,"=HYPERLINK(""https://pokepast.es/ccb3a590fe0676b2"")"
Sherp,Sherp,"=HYPERLINK(""https://pokepast.es/a101ddc823755245"")"
rjc77,Rich,"=HYPERLINK(""https://pokepast.es/0591de935d0db49e"")"
Jeanz1214,東雲青空,"=HYPERLINK(""https://pokepast.es/dab08769b78a528d"")"
samulucin,Samuel,"=HYPERLINK(""https://pokepast.es/38f51ae58856125c"")"
BigMikeOG,BIG MIKE,"=HYPERLINK(""https://pokepast.es/6d37c5db249aec8e"")"
afurby81,Alucar,"=HYPERLINK(""https://pokepast.es/5e8944fdbf4753e8"")"
elmekosomg,ander,"=HYPERLINK(""https://pokepast.es/461cce301668585f"")"
jassiellezama23,(Juxer),"=HYPERLINK(""https://pokepast.es/8b764f830ffe819c"")"
jiholee32,호지,"=HYPERLINK(""https://pokepast.es/30e9b1c01461d41f"")"
tommyoldo,FinnzVGC,"=HYPERLINK(""https://pokepast.es/15d058da1427fc25"")"
pubby,pubby,"=HYPERLINK(""https://pokepast.es/4e62db746ee1a666"")"
JoeUX9,JoeUX9,"=HYPERLINK(""TBD"")"
molinallorcasantiago,Santi,"=HYPERLINK(""https://pokepast.es/49a5c5f81853f5ac"")"
noahstransky12,lux,"=HYPERLINK(""https://pokepast.es/06d2643b866373d3"")"
☆Darien★,☆Darien★,"=HYPERLINK(""https://pokepast.es/def030e3a0e39817"")"
Zazaz2025,Zaza,"=HYPERLINK(""https://pokepast.es/47bae49bdc3a1fb7"")"
toumakazusa1st,SG★,"=HYPERLINK(""https://pokepast.es/6961961b33a85d15"")"
ErcoleSterolo,FedeMitra9,"=HYPERLINK(""https://pokepast.es/a80855625358a963"")"
exoduslarcano,Exodus,"=HYPERLINK(""https://pokepast.es/8f9be8518f41786b"")"
snow-pokepoke,SNOW,"=HYPERLINK(""https://pokepast.es/8c73cbebc03036ea"")"
FR Barbershop,F2,"=HYPERLINK(""https://pokepast.es/d48016e87e2c10d3"")"
kkyytsukide9,ストレリチア,"=HYPERLINK(""https://pokepast.es/0c890a3bded2c463"")"
aitzolrobles13,Maco,"=HYPERLINK(""https://pokepast.es/b0d6e8813b2937ad"")"
クロ,スカーレット,"=HYPERLINK(""https://pokepast.es/bafaa31926aac244"")"
Onemagician,Vikram,"=HYPERLINK(""https://pokepast.es/bf91f86c7e9ade9f"")"
Tabu__24,Tabu,"=HYPERLINK(""https://pokepast.es/9fa06658a232e7cd"")"
Tigerozi11,Kapuran,"=HYPERLINK(""https://pokepast.es/230c1ad92900b1b9"")"
robertinoparente,Roberto,"=HYPERLINK(""https://pokepast.es/97d7511e0f470efc"")"
arubega,アルベガ,"=HYPERLINK(""https://pokepast.es/c498e01a20911065"")"
bubbles_ftw,Hoej,"=HYPERLINK(""https://pokepast.es/9304313840e4672d"")"
CICCIOTT,CICCIOTT,"=HYPERLINK(""https://pokepast.es/145bf1a7cd40adec"")"
koltyn35,Koltyn,"=HYPERLINK(""https://pokepast.es/b7715e935a7e9cda"")"
fgyt4334,실크,"=HYPERLINK(""https://pokepast.es/abcbf52eddf7c07b"")"
jorgehernandezacosta1,CostaGG,"=HYPERLINK(""https://pokepast.es/ea1dbad14704f2da"")"
rayanleroux,Rayy,"=HYPERLINK(""https://pokepast.es/1b1ce24e9267768d"")"
lorenzobrilli94,XeolnorzVGC,"=HYPERLINK(""https://pokepast.es/23453370539adfef"")"
The10Phoenix,Francis,"=HYPERLINK(""https://pokepast.es/1eb9a34620b583c5"")"
giuliotarlao,Giulio,"=HYPERLINK(""https://pokepast.es/43058e901d69ed27"")"
AladYgma,Aladygma,"=HYPERLINK(""https://pokepast.es/af4fde9f79dd8941"")"
sergio230910,Sergio,"=HYPERLINK(""https://pokepast.es/ebc1be5c5e5ac875"")"
JCS345,あおのかみ,"=HYPERLINK(""https://pokepast.es/ebad622eec287c1c"")"
xsanvy,⭐Sanvy,"=HYPERLINK(""https://pokepast.es/4010229bb19b72a2"")"
rayde,Raydevy,"=HYPERLINK(""https://pokepast.es/92df3f08857d343e"")"
audricdavid11,DricsVG,"=HYPERLINK(""https://pokepast.es/efe06b081723c29c"")"
MichaelderBeste,Michi,"=HYPERLINK(""https://pokepast.es/3426854f5e44bce8"")"
Astora_,Astora,"=HYPERLINK(""https://pokepast.es/da18061e1d974a6d"")"
cgibson1994,Chris,"=HYPERLINK(""https://pokepast.es/621a7401221bd9a3"")"
alessandrocinardi1992,Cinavgc,"=HYPERLINK(""https://pokepast.es/6f926ea9d11dcdef"")"
samuelpereiramarante,CSK,"=HYPERLINK(""https://pokepast.es/876134044df02bbd"")"
Chuggle,Chuggle,"=HYPERLINK(""https://pokepast.es/09aa377bdcf6c819"")"
TheSubZero,RoiRehh,"=HYPERLINK(""https://pokepast.es/5d32a35dc76f4cfc"")"
DayDaysfw,日日,"=HYPERLINK(""https://pokepast.es/13478433b2e46816"")"
Ppppppp,Dondozo Fisure,"=HYPERLINK(""https://pokepast.es/0a04247b830441cc"")"
ring9500,MrRishi,"=HYPERLINK(""https://pokepast.es/80a463c89d95a7aa"")"
The Main Flutter,Snowballl,"=HYPERLINK(""https://pokepast.es/6d6f33c8233bf788"")"
Matteo Moscardini,Bartolomao,"=HYPERLINK(""https://pokepast.es/52f818037618336d"")"
fuschio29,NikyuAlex,"=HYPERLINK(""https://pokepast.es/81c4b4a370c75736"")"
Mr Frey,Javi,"=HYPERLINK(""https://pokepast.es/4078ee238fd5f2cf"")"
Romain M,Inkyn,"=HYPERLINK(""https://pokepast.es/9cf259fa94261a9c"")"
PaintVGC,Blue,"=HYPERLINK(""https://pokepast.es/237772114f2aa570"")"
johannes100100,John♀,"=HYPERLINK(""https://pokepast.es/cee869c5a0c61b0f"")"
jakob_hermann_91,Herlum,"=HYPERLINK(""https://pokepast.es/1aa2e580e141c873"")"
brandonrodri2013,B-Rod,"=HYPERLINK(""https://pokepast.es/59a43f781333e1f5"")"
simon_bernard,Ryo,"=HYPERLINK(""https://pokepast.es/ba2590a4a66892c5"")"
yujiro02140214,Yujiro,"=HYPERLINK(""https://pokepast.es/d4881aca456066b7"")"
meak104,シュン,"=HYPERLINK(""https://pokepast.es/8b86e4e1c1d6c9b4"")"
sepalikalakmali80-1,marcofiero,"=HYPERLINK(""https://pokepast.es/a77cef151aab4e22"")"
galbaldy97,くろたま,"=HYPERLINK(""https://pokepast.es/680a6f92340347bd"")"
danielacorn ,DanielAcorn,"=HYPERLINK(""https://pokepast.es/7e9b7a8b6cce51bd"")"
alek97f,AleK,"=HYPERLINK(""https://pokepast.es/89596f63ac50587a"")"
せれ,おヌメラ,"=HYPERLINK(""https://pokepast.es/fe9a505646951194"")"
fyluriss,Luriss,"=HYPERLINK(""https://pokepast.es/6875e34bad5c9faa"")"
arxnturtlevgc,ArxnTurtle,"=HYPERLINK(""https://pokepast.es/8a79c5b8c25dc0d7"")"
justmelodyrider,りんちゃん,"=HYPERLINK(""https://pokepast.es/791276cd5c394d59"")"
Koala-T,Koala-T Kost,"=HYPERLINK(""https://pokepast.es/ac092a2cac12e33f"")"
mako2985,mako,"=HYPERLINK(""https://pokepast.es/f60e39e58b52a62e"")"
johanrodriguez1017,Johan,"=HYPERLINK(""https://pokepast.es/585418a346c4ecde"")"
fralildarkrai,Lil Darkrai,"=HYPERLINK(""https://pokepast.es/1c492b44d3199f7b"")"
Sirox185,Sirox,"=HYPERLINK(""https://pokepast.es/7ec4c628fa3fd586"")"
Dolliv Moment,Louis,"=HYPERLINK(""https://pokepast.es/939712acf71c267e"")"
lucadonkey9,0-x in swiss,"=HYPERLINK(""https://pokepast.es/82f4abe9561f45e3"")"
taka_na_u,taka_na_u,"=HYPERLINK(""https://pokepast.es/5c81e63335a74f02"")"
Esteban Molina Ávila,MolinaVGC,"=HYPERLINK(""https://pokepast.es/4faffffbb86097d2"")"
lucalucario,lucalucario,"=HYPERLINK(""https://pokepast.es/ca8d42583b91e580"")"
prism4763,あやせ,"=HYPERLINK(""https://pokepast.es/0b9abf5f95964790"")"
i_kazuki,ミオリア,"=HYPERLINK(""https://pokepast.es/35a564d467ce672c"")"
Daviron,Daviron,"=HYPERLINK(""https://pokepast.es/5fc45c1d47b95d1e"")"
