BattlefyName,IGN,Pokepaste
vanwestropmax-1,Giel,"=HYPERLINK(""https://pokepast.es/9b4460ff1aa1edb8"")"
blastoise_vossi,Vossi,"=HYPERLINK(""https://pokepast.es/21eabeeea3e6d308"")"
Dialing,Dialing,"=HYPERLINK(""https://pokepast.es/d3dcd655ce743c29"")"
benbau23,Benni,"=HYPERLINK(""https://pokepast.es/e376f2eac5e510c2"")"
Syndera,Syndera,"=HYPERLINK(""https://pokepast.es/d9cb814c227902fc"")"
ProfessorJ,Professor J,"=HYPERLINK(""https://pokepast.es/10ac7918fa0d96f5"")"
lorenzo350,HabaneroVGC,"=HYPERLINK(""https://pokepast.es/5424d62c25d70a1b"")"
herpetologist123,Alex,"=HYPERLINK(""https://pokepast.es/8e84b1b4549dac40"")"
adamed1207,adam,"=HYPERLINK(""https://pokepast.es/381e37a9dba88675"")"
simonetomaiuolo,Silo,"=HYPERLINK(""https://pokepast.es/f4335077de7a8694"")"
giovannipanarello99,Bèf,"=HYPERLINK(""https://pokepast.es/afcf745a4d6ceb5f"")"
Xpartaz,Xpartaz,"=HYPERLINK(""https://pokepast.es/7ef07a8fa4024f7e"")"
ScipioVGC,Lennart,"=HYPERLINK(""Calyrex-Ice @ Clear Amulet   Ability: As One (Glastrier)   Tera Type: Water   - Trick Room   - Glacial Lance   - Protect   - High Horsepower    Farigiraf @ Safety Goggles   Ability: Armor Tail   Tera Type: Fairy   - Foul Play   - Helping Hand   - Trick Room   - Psychic    Landorus @ Life Orb   Ability: Sheer Force   Tera Type: Poison   - Protect   - Sludge Bomb   - Earth Power   - Sandsear Storm    Regieleki @ Focus Sash   Ability: Transistor   Tera Type: Electric   - Protect   - Electroweb   - Thunderbolt   - Volt Switch    Ogerpon-Cornerstone @ Cornerstone Mask   Ability: Sturdy   Tera Type: Rock   - Ivy Cudgel   - Follow Me   - Power Whip   - Spiky Shield    Urshifu-Rapid-Strike @ Mystic Water   Ability: Unseen Fist   Tera Type: Water   - Detect   - Close Combat   - Surging Strikes   - Aqua Jet"")"
fgyt4334,실크,"=HYPERLINK(""https://pokepast.es/5348597b22cf7dd9"")"
arkjsmith,Noah,"=HYPERLINK(""https://pokepast.es/278fcd3424a7746a"")"
annalisabarra4,Cyalia,"=HYPERLINK(""https://pokepast.es/ac1f265c8d408825"")"
pode14mp,Matt,"=HYPERLINK(""https://pokepast.es/9d5779ff9c1c777f"")"
ryoma_11,Ziguzaku,"=HYPERLINK(""https://pokepast.es/4bfe76b6be769091"")"
divalusts,Divalusts,"=HYPERLINK(""https://pokepast.es/1c019902b089370b"")"
alopezmoreno03,Andrius,"=HYPERLINK(""https://pokepast.es/75da985387cd215d"")"
alozanonavarro,goldenBeak,"=HYPERLINK(""https://pokepast.es/41a957ff6f12e3b2"")"
Ebibi,りっちゃん,"=HYPERLINK(""https://pokepast.es/75268b774c632294"")"
Sildurah,Sildurah,"=HYPERLINK(""https://pokepast.es/334e97396ffdf475"")"
Penglin,Penglin,"=HYPERLINK(""https://pokepast.es/be80ba40c3c131c7"")"
roscioale08,Alessio,"=HYPERLINK(""https://pokepast.es/6953f5a4a632fc2c"")"
kangsion55,Scarlet,"=HYPERLINK(""https://pokepast.es/65bef9e630f7b2f8"")"
diegostella_,Diego,"=HYPERLINK(""https://pokepast.es/efc68383b4de3d0d"")"
Ivancioo_,Paco,"=HYPERLINK(""https://pokepast.es/8cd81bde32f1eefe"")"
niccolongo1,NIC,"=HYPERLINK(""https://pokepast.es/3d002f4665419d92"")"
Dekom,D,"=HYPERLINK(""https://pokepast.es/a1bfd7328347c6b6"")"
isaacmoretos,AHollow,"=HYPERLINK(""https://pokepast.es/e6db0a7ec1edf80e"")"
sergiopw23,Sergio,"=HYPERLINK(""https://pokepast.es/badc2599ac9e55f6"")"
eirik1995,Eirik,"=HYPERLINK(""https://pokepast.es/6792a0dad4f23101"")"
DaniVGC,DaniVGC,"=HYPERLINK(""https://pokepast.es/858f446718fb453d"")"
juannunezmoreno22,Pipa,"=HYPERLINK(""https://pokepast.es/3fccf6e892e2d387"")"
jonathanduran7,DuranzTV,"=HYPERLINK(""https://pokepast.es/3ef273c32a3e8169"")"
iscoandyoung,LeCehlou,"=HYPERLINK(""https://pokepast.es/c14252e2b662f9a3"")"
gianziniruben,Ruben,"=HYPERLINK(""https://pokepast.es/faea13dbaa09592e"")"
StoneStormVGC,LeKushufly,"=HYPERLINK(""https://pokepast.es/d11697a2f5c775a9"")"
Chase208,Chase,"=HYPERLINK(""https://pokepast.es/ec9a6e2244afb454"")"
Lucas Mester,Lucas,"=HYPERLINK(""https://pokepast.es/7f5e338fd125f5eb"")"
cadencroftcc,caden,"=HYPERLINK(""https://pokepast.es/e305260690e4eb31"")"
mattyangel05,Matty,"=HYPERLINK(""https://pokepast.es/f79718fbf9674160"")"
RekiVGC,Reki,"=HYPERLINK(""https://pokepast.es/ab84ca16661a9d3d"")"
davidecarrer1,Nirinbo,"=HYPERLINK(""https://pokepast.es/3c26fe380a329f3d"")"
