BattlefyName,IGN,Pokepaste
dmal,Dylan,"=HYPERLINK(""https://pokepast.es/a52e606c2b723942"")"
vanwestropmax-1,Giel,"=HYPERLINK(""https://pokepast.es/7ceaaad90ebc8e38"")"
blastoise_vossi,Vossi,"=HYPERLINK(""https://pokepast.es/d8f43aa5fdc65738"")"
D10Jr,Dan Jr,"=HYPERLINK(""https://pokepast.es/f2b1acd1cbeaec5a"")"
timedwards,TSE,"=HYPERLINK(""https://pokepast.es/3d47df58b8581f93"")"
tobissj_,Tobi,"=HYPERLINK(""https://pokepast.es/1dfff3bfa2c8e689"")"
Usagers,Usagi,"=HYPERLINK(""https://pokepast.es/47b7e30284a04e81"")"
Sleiny,Niels,"=HYPERLINK(""https://pokepast.es/38416f1609155a80"")"
Romeru,Romeru,"=HYPERLINK(""https://pokepast.es/b802cc4ee9602852"")"
marinucci35,Mari,"=HYPERLINK(""https://pokepast.es/1170525841101e3a"")"
Lagartou,Lagarto,"=HYPERLINK(""https://pokepast.es/00f1ae0480ca6f06"")"
johnp11,JP,"=HYPERLINK(""https://pokepast.es/30861d52c58e8150"")"
todds3505,leland,"=HYPERLINK(""https://pokepast.es/577dfa0e944ef570"")"
Argent703,은빛♪,"=HYPERLINK(""https://pokepast.es/f2511b77fae5e5a6"")"
・。・,あたりめ,"=HYPERLINK(""https://pokepast.es/2eaafd859d1a558b"")"
Xpartaz,Xpartaz,"=HYPERLINK(""https://pokepast.es/4a7302e41ad50f97"")"
PengWin,Pengy,"=HYPERLINK(""https://pokepast.es/119c08a2ea623848"")"
zachscrayons,Zach,"=HYPERLINK(""https://pokepast.es/1d5c8e90c9eacd74"")"
alarconlucatomas-1,Luca,"=HYPERLINK(""https://pokepast.es/fd429b454a62a8a2"")"
IdkVice,Collier,"=HYPERLINK(""https://pokepast.es/4ae03d14f5c5366e"")"
Deceivee,deceive,"=HYPERLINK(""https://pokepast.es/9f329f3eec23339c"")"
cianassassain15,Papa Schmup,"=HYPERLINK(""https://pokepast.es/b5f9526e64444394"")"
marioabronzino14,Mario,"=HYPERLINK(""https://pokepast.es/616421c079e87609"")"
fung5071-1,☆小楓,"=HYPERLINK(""https://pokepast.es/aab5c7270c53914e"")"
zein_youssef,Jitterz,"=HYPERLINK(""https://pokepast.es/6057946671c0836b"")"
xBubuy,Bubu,"=HYPERLINK(""https://pokepast.es/bc4cf0fc2693787e"")"
arkjsmith,Noah,"=HYPERLINK(""https://pokepast.es/88e5de79495a64fe"")"
Viiv,Vivienne,"=HYPERLINK(""https://pokepast.es/5cd584f2c84636e2"")"
lbjmrhandsome,ruin,"=HYPERLINK(""https://pokepast.es/be29020b3fce4df5"")"
pokeomistcg,Baldo,"=HYPERLINK(""https://pokepast.es/8f43f1eef9fa9f90"")"
AresVGC,Anthony,"=HYPERLINK(""https://pokepast.es/a75f0f23ea647f1e"")"
flaviocolognato-2,Flapoké,"=HYPERLINK(""https://pokepast.es/637bfa6c1a7635eb"")"
Shmon,Shmon,"=HYPERLINK(""https://pokepast.es/c4e6ae65b07aef83"")"
OweVG,Owe,"=HYPERLINK(""https://pokepast.es/9d39671b978d3a81"")"
ShowMakerVGC,TonyJr,"=HYPERLINK(""https://pokepast.es/0898079b63da9837"")"
thebigmacky,thebigmacky,"=HYPERLINK(""https://pokepast.es/1112757f986f51c9"")"
tarouhonda17,mejianpoke,"=HYPERLINK(""https://pokepast.es/785e483b78221c16"")"
xandertexel,Floor,"=HYPERLINK(""https://pokepast.es/50bafc72cc0a840d"")"
LNBeezy,Beezy,"=HYPERLINK(""https://pokepast.es/9a6c7637fdeac54d"")"
ELGERVAS,Berti,"=HYPERLINK(""https://pokepast.es/5bced10fd5ad779f"")"
benbau23,Benni,"=HYPERLINK(""https://pokepast.es/d2e091eef436aa67"")"
Joseph_Gambit,Joseph,"=HYPERLINK(""https://pokepast.es/5bfbc437cd184412"")"
DarkGold,DarkGold,"=HYPERLINK(""https://pokepast.es/88e6ad8e52289a37"")"
sh4dowzon-tg,TeclamonoTV,"=HYPERLINK(""https://pokepast.es/9f3110168b4f5087"")"
Joey Woodring,Panda Man,"=HYPERLINK(""https://pokepast.es/e26c44d8c62e8a16"")"
ilgroudon,mr.kire,"=HYPERLINK(""https://pokepast.es/15ba85af46f92d28"")"
Itachi758000,Pepee,"=HYPERLINK(""https://pokepast.es/6e507bf38fa53b62"")"
lucagesualdo723,Luca,"=HYPERLINK(""https://pokepast.es/478ddbe0a4855271"")"
Draxolotl_,Draxolotl,"=HYPERLINK(""https://pokepast.es/976985a103048e15"")"
Val16,Val,"=HYPERLINK(""https://pokepast.es/51495b0742fdaf08"")"
roscioale08,Alessio,"=HYPERLINK(""https://pokepast.es/526e135466ec49ad"")"
notCage,notCage,"=HYPERLINK(""https://pokepast.es/7f081b9cf659886a"")"
Cactusmax,Cactusmax,"=HYPERLINK(""https://pokepast.es/d86c148e043f7320"")"
ChrisVGC,Chris,"=HYPERLINK(""https://pokepast.es/61221af42823d202"")"
TrickRuby,Ruby,"=HYPERLINK(""https://pokepast.es/7ab9c58c897b9f98"")"
Animod,Animod,"=HYPERLINK(""https://pokepast.es/c529b4d908c3a38f"")"
gabriel-rigo3,Gabri,"=HYPERLINK(""https://pokepast.es/88f8afe89ef60707"")"
marcosdeltasena,JULIANA,"=HYPERLINK(""https://pokepast.es/d927700fc4b7332e"")"
Dolliv Moment,Louis,"=HYPERLINK(""https://pokepast.es/95dee8281e0af905"")"
davidecarrer1,Nirinbo,"=HYPERLINK(""https://pokepast.es/ba9e8f73535b5a3a"")"
StoneStormVGC,LeKushufly,"=HYPERLINK(""https://pokepast.es/eea8bece06eb4008"")"
Gustavo Braz,Pai Braz,"=HYPERLINK(""https://pokepast.es/edcb624b13d0bd32"")"
BullishFunkVGC,BullishFunk,"=HYPERLINK(""https://pokepast.es/ab7d4c3289463699"")"
Ign Durk,Florian,"=HYPERLINK(""https://pokepast.es/ae934d515f78bbed"")"
K0nqueror,Kian,"=HYPERLINK(""https://pokepast.es/c689489e5cb6d2bf"")"
arthurglandier,Ksomon,"=HYPERLINK(""https://pokepast.es/52dab77e07792357"")"
molinallorcasantiago,Santi,"=HYPERLINK(""https://pokepast.es/4e5653fef28c3cf5"")"
maxdeesevgc,Max,"=HYPERLINK(""https://pokepast.es/80ee6803fdf0ce9c"")"
RhettPlays,Rhett,"=HYPERLINK(""https://pokepast.es/557d2f0690a62fee"")"
Sirox185,Sirox,"=HYPERLINK(""https://pokepast.es/c89c891624b62088"")"
tibbins07,Tibbins07,"=HYPERLINK(""https://pokepast.es/e9867f2591546b6d"")"
giuliogilberti9696,Tosahka,"=HYPERLINK(""https://pokepast.es/6ac2c16b8654be02"")"
innivationsinc,Tom,"=HYPERLINK(""https://pokepast.es/bff1820707e038c2"")"
MidoMidori,Roxy,"=HYPERLINK(""https://pokepast.es/682ed6e43b621a36"")"
thiago_lattanzi,VOVOMAXBEN10,"=HYPERLINK(""https://pokepast.es/d5baf4b34cc4e58e"")"
LeviathanDrake,Lore,"=HYPERLINK(""https://pokepast.es/193bb85a782e1c34"")"
danishali515,Scythee,"=HYPERLINK(""https://pokepast.es/0ea19db85bea5ca9"")"
healingblade12,Dr. Pepper,"=HYPERLINK(""https://pokepast.es/5f1fa1ed6b04ecf9"")"
Ste,Ste,"=HYPERLINK(""https://pokepast.es/726fa3e447b61f21"")"
TheSubZero,RoiRehh,"=HYPERLINK(""https://pokepast.es/b4ed69c1e1c67a4c"")"
billcabrera25,Billcd,"=HYPERLINK(""https://pokepast.es/e444e882b5ebc6dd"")"
danielcorrales357,DaniCorral,"=HYPERLINK(""https://pokepast.es/b69a63aa9d50e470"")"
