BattlefyName,IGN,Pokepaste
Anguillone,Anguillone,"=HYPERLINK(""https://pokepast.es/b62a5f95ec513acd"")"
HatsuneChiYu,Leaf,"=HYPERLINK(""https://pokepast.es/ac22de126750b7bc"")"
sh4dowzon-tg,TeclamonoTV,"=HYPERLINK(""https://pokepast.es/fc2731109d4b5dca"")"
Usagers,Usagi,"=HYPERLINK(""https://pokepast.es/0e43aec05148c0b8"")"
Viiv,Vivienne,"=HYPERLINK(""https://pokepast.es/5cd584f2c84636e2"")"
Xigor,Xigor,"=HYPERLINK(""https://pokepast.es/9d83712f0f04fc63"")"
pode14mp,Matt,"=HYPERLINK(""https://pokepast.es/58a7291d5d3578a6"")"
tttc0865,Marcos77,"=HYPERLINK(""https://pokepast.es/974c8fd4b31a2828"")"
bubbles_ftw,Hoej,"=HYPERLINK(""https://pokepast.es/f8d55a7d622860ab"")"
antonioparolise,Joe Mama,"=HYPERLINK(""https://pokepast.es/e1680554cfdea899"")"
danilof,NiloVGC,"=HYPERLINK(""https://pokepast.es/183ca1cb5bd04f1f"")"
notniw,sdrogo,"=HYPERLINK(""https://pokepast.es/1ca86f34e974f92f"")"
johannes100100,John♀,"=HYPERLINK(""https://pokepast.es/97fed3a4ba85b1e5"")"
Spicy~Cigar,Spicy Cigar,"=HYPERLINK(""https://pokepast.es/64c3bc63fffe96be"")"
anniwilma,Anni,"=HYPERLINK(""https://pokepast.es/9e0ddc3b2a04a099"")"
Aexar,Aexar,"=HYPERLINK(""https://pokepast.es/784088a42b01071a"")"
kangsion55,Scarlet,"=HYPERLINK(""https://pokepast.es/8f8468813460febf"")"
Nyantifa,Nyx,"=HYPERLINK(""https://pokepast.es/6dcda750acd415bb"")"
xBubuy,Bubu,"=HYPERLINK(""https://pokepast.es/5d87a9dae8226390"")"
lorenzoulivi9,BRENDON,"=HYPERLINK(""https://pokepast.es/bd9b5cf3fe41c853"")"
natspann,Nat,"=HYPERLINK(""https://pokepast.es/4d941165d4e7ac05"")"
hayfire926,Toler,"=HYPERLINK(""https://pokepast.es/0b7cb7f63f75054f"")"
rafaeldurancine,Rafastarr,"=HYPERLINK(""https://pokepast.es/ded76fdf3685a673"")"
gabriel-rigo3,Gabri,"=HYPERLINK(""https://pokepast.es/41aca8adcee845f0"")"
Itachi758000,Pepee,"=HYPERLINK(""https://pokepast.es/894626e8b62b004b"")"
Blazechar,BLAZECHAR,"=HYPERLINK(""https://pokepast.es/1b6a84c479a2a51c"")"
LoveThyEnemy,David,"=HYPERLINK(""https://pokepast.es/70e648ffcc174308"")"
EthoxVGC,Ethox,"=HYPERLINK(""https://pokepast.es/25d436853da88c0a"")"
DokucaleVGC,Dokucale,"=HYPERLINK(""https://pokepast.es/4a3d254b046ab8f6"")"
PengWin,Pengy,"=HYPERLINK(""https://pokepast.es/0f627e6649682aa1"")"
eduardoleitemreis,Leite Ninho,"=HYPERLINK(""https://search.app/CXozAi4Mh3rQq18A9"")"
IdkVgc,Evan,"=HYPERLINK(""https://pokepast.es/9d5600c30fd59db9"")"
Ze Banded,Ze Banded,"=HYPERLINK(""https://pokepast.es/6f2f3510df013832"")"
Unreality,Traylor Moon,"=HYPERLINK(""https://pokepast.es/255c5d7449aa6ab1"")"
Dot1Q_VGC,Dot1Q,"=HYPERLINK(""https://pokepast.es/f5d2d51191a9f887"")"
molinallorcasantiago,Santi,"=HYPERLINK(""https://pokepast.es/b9b88f60ab830dee"")"
Dolliv Moment,Louis,"=HYPERLINK(""https://pokepast.es/f8405e85c6995069"")"
RaffyVGC,Goron,"=HYPERLINK(""https://pokepast.es/134edff97dbb596e"")"
alexandercanseco1994,cansecochann,"=HYPERLINK(""https://pokepast.es/79754758f6f599d0"")"
arthurglandier,Ksomon,"=HYPERLINK(""https://pokepast.es/832bc785d49a1dec"")"
Lucas Mester,Lucas,"=HYPERLINK(""https://pokepast.es/ebc741d731eb5b13"")"
EmbCPT,Edu,"=HYPERLINK(""https://pokepast.es/21c5dad563949893"")"
mrandresramirez,link,"=HYPERLINK(""https://pokepast.es/0e02ec31c41816f3"")"
zoxl,캐티,"=HYPERLINK(""https://pokepast.es/7f0d4fc62fc65595"")"
niccolongo1,NiC,"=HYPERLINK(""https://pokepast.es/1563d93813f4880a"")"
ozankaragoez,Ozan,"=HYPERLINK(""https://pokepast.es/10fe44794835a47c"")"
miquelnicolau97,Torao,"=HYPERLINK(""https://pokepast.es/6dfaed890d8802d7"")"
fung5071-1,☆小楓,"=HYPERLINK(""https://pokepast.es/7f9bf444b0c507a2"")"
FedeCampoVGC,FedeCampoVGC,"=HYPERLINK(""https://pokepast.es/dfc8ca82a90912e1"")"
giuliogilberti9696,Tosahka,"=HYPERLINK(""https://pokepast.es/eb0f107f67b8e5b7"")"
